filename,width,height,class,xmin,ymin,xmax,ymax
CDY_2015.jpg,2048,1365,uva,53.0,572.0,266.0,747.9
CDY_2015.jpg,2048,1365,uva,1015.9,649.9,1100.9,737.9
CDY_2015.jpg,2048,1365,uva,142.0,258.1,315.1,568.1
CDY_2015.jpg,2048,1365,uva,1667.0,643.1,1731.9,729.1
CDY_2015.jpg,2048,1365,uva,1641.1,738.1,1727.1,842.1
CDY_2015.jpg,2048,1365,uva,1695.0,685.0,1784.9,844.0
CDY_2015.jpg,2048,1365,uva,340.1,349.0,509.1,447.0
CDY_2015.jpg,2048,1365,uva,300.0,447.0,402.0,509.0
CDY_2015.jpg,2048,1365,uva,282.9,510.0,360.9,633.0
CDY_2015.jpg,2048,1365,uva,311.0,764.0,393.9,892.0
CDY_2015.jpg,2048,1365,uva,0.0,757.0,79.1,940.0
CDY_2015.jpg,2048,1365,uva,69.9,746.0,170.9,841.0
CDY_2015.jpg,2048,1365,uva,1332.0,606.0,1411.1,735.0
CDY_2015.jpg,2048,1365,uva,1714.0,533.9,1807.0,695.9
CDY_2015.jpg,2048,1365,uva,1817.9,629.1,1902.9,799.0
CDY_2015.jpg,2048,1365,uva,533.9,634.0,696.9,826.1
CDY_2015.jpg,2048,1365,uva,703.0,503.1,783.1,688.1
CDY_2015.jpg,2048,1365,uva,750.1,421.9,858.0,657.0
CDY_2015.jpg,2048,1365,uva,-0.1,387.0,37.0,556.0
CDY_2015.jpg,2048,1365,uva,587.1,479.0,706.1,616.0
CDY_2015.jpg,2048,1365,uva,448.0,771.0,528.1,845.9
CDY_2015.jpg,2048,1365,uva,380.9,515.0,453.0,568.0
CDY_2015.jpg,2048,1365,uva,278.1,569.0,464.1,758.1
CDY_2015.jpg,2048,1365,uva,766.0,690.0,902.0,895.0
CDY_2016.jpg,2048,1365,uva,1466.9,167.1,1619.8000000000002,462.5
CDY_2016.jpg,2048,1365,uva,829.6,586.1,1023.6,943.5
CDY_2016.jpg,2048,1365,uva,1562.9,677.4,1693.7,902.0999999999999
CDY_2016.jpg,2048,1365,uva,1305.3,3.9,1538.8,509.09999999999997
CDY_2016.jpg,2048,1365,uva,1172.9,472.8,1317.5,718.5
CDY_2016.jpg,2048,1365,uva,997.9,227.5,1217.6,622.5
CDY_2016.jpg,2048,1365,uva,704.0,783.6,927.6,1237.0
CDY_2017.jpg,2048,1365,uva,1515.0,539.0,1749.1,895.0
CDY_2017.jpg,2048,1365,uva,784.0,453.0,963.0,636.0
CDY_2017.jpg,2048,1365,uva,994.0,338.0,1115.0,513.0
CDY_2017.jpg,2048,1365,uva,1007.9,633.0,1199.0,896.0
CDY_2017.jpg,2048,1365,uva,1302.9,606.1,1495.0,775.1
CDY_2017.jpg,2048,1365,uva,174.9,512.0,319.9,732.0
CDY_2017.jpg,2048,1365,uva,1.0,741.9,37.0,851.0
CDY_2017.jpg,2048,1365,uva,441.9,723.9,574.0,906.9
CDY_2017.jpg,2048,1365,uva,767.0,747.0,869.0,859.1
CDY_2017.jpg,2048,1365,uva,654.0,678.0,773.0,918.0
CDY_2017.jpg,2048,1365,uva,915.9,716.1,1115.0,1012.0
CDY_2017.jpg,2048,1365,uva,1324.0,405.0,1652.9,684.0
CDY_2018.jpg,2048,1365,uva,886.9,215.9,1094.0,414.9
CDY_2018.jpg,2048,1365,uva,1763.0,316.0,1895.9,539.0
CDY_2018.jpg,2048,1365,uva,1628.1,324.0,1781.1,569.0
CDY_2018.jpg,2048,1365,uva,1489.9,163.0,1652.9,480.0
CDY_2018.jpg,2048,1365,uva,1229.1,208.0,1457.0,595.0
CDY_2018.jpg,2048,1365,uva,1073.2,606.0,1137.1000000000001,702.0
CDY_2018.jpg,2048,1365,uva,945.9,530.0,1094.0,736.0
CDY_2018.jpg,2048,1365,uva,35.0,830.9,189.0,1137.9
CDY_2018.jpg,2048,1365,uva,182.9,882.0,277.9,1086.1
CDY_2018.jpg,2048,1365,uva,266.1,902.1,390.0,1206.1
CDY_2018.jpg,2048,1365,uva,369.0,865.0,493.9,993.0
CDY_2018.jpg,2048,1365,uva,582.0,367.0,756.9,600.0
CDY_2018.jpg,2048,1365,uva,558.0,299.0,661.0,384.0
CDY_2018.jpg,2048,1365,uva,644.9,270.0,705.9,332.0
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,1361.8,930.5,1466.8999999999999,1097.1
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,1400.4,682.2,1568.5,908.2
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,1237.3,730.9,1389.7,866.0
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,1118.5,559.2,1296.8,832.5
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,858.9,861.0,1048.4,1186.6
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,801.0,666.4,1049.9,897.5
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,619.2,477.0,833.0,773.1
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,312.4,562.8,615.5999999999999,862.5
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,309.3,510.5,577.0,675.1
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,128.5,366.7,325.1,652.2
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,1922.0,697.9,2044.9,930.5
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,1776.8,816.8,2023.7,1149.5
CDY_20180427_152724818_BURST000_COVER_TOP.jpg,2048,1536,uva,1577.1,715.2,1801.1,1013.4000000000001
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,1216.5,527.7,1368.9,921.9000000000001
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,499.8,539.9,610.5,632.9
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,300.2,480.5,522.7,706.5
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,1016.9,645.1,1190.1,995.6
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,1335.4,701.5,1505.6000000000001,844.7
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,372.3,619.2,615.6,927.5
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,883.8,305.3,1139.3,577.0
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,1034.2,7.6,1183.0,214.29999999999998
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,1524.8,650.7,1848.9,886.9000000000001
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,1470.5,550.6,1605.1,708.6
CDY_20180427_152823935_BURST000_COVER_TOP.jpg,2048,1536,uva,564.8,690.8,705.0,983.4
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1970.0,876.0,2047.0,1071.1
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1705.9,670.9,1869.9,858.9
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,171.0,760.0,248.0,857.1
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1921.1,671.0,2047.1,782.1
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1447.1,727.9,1588.0,895.9
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1386.1,921.0,1481.1,1081.1
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1345.9,603.0,1517.9,845.1
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1169.1,844.0,1293.0,1038.0
CDY_20180427_152937457_BURST000_COVER_TOP.jpg,2048,1536,uva,1053.1,775.1,1248.1,936.1
